observed_date,rank,licensee,assignment_count
2025-07-18,1,ONE NEW ZEALAND GROUP LIMITED,10146
2025-07-18,2,SPARK NEW ZEALAND TRADING LIMITED,8855
2025-07-18,3,TWO DEGREES NETWORKS LIMITED,8638
2025-07-18,4,CHORUS NEW ZEALAND LIMITED,3636
2025-07-18,5,EONFIBRE LIMITED,2022
2025-07-18,6,VITAL LIMITED,1954
2025-07-18,7,KIWIRAIL,1820
2025-07-18,8,KORDIA LIMITED,1514
2025-07-18,9,RURAL CONNECTIVITY GROUP LIMITED,1350
2025-07-18,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-07-18,11,ENTAIN NEW ZEALAND LIMITED,657
2025-07-18,12,LIGHTWIRE LIMITED,648
2025-07-18,13,NZME RADIO LIMITED,602
2025-07-18,14,POWERCO LIMITED,590
2025-07-18,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-07-18,16,EVERY PERSON,574
2025-07-18,17,ISO LIMITED,552
2025-07-18,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-07-18,19,KIWIRAIL LTD,533
2025-07-18,20,MEDIAWORKS RADIO LIMITED,499
2025-07-18,21,SPACE OPERATIONS NEW ZEALAND LIMITED,499
2025-07-18,22,DEPARTMENT OF CONSERVATION,467
2025-07-18,23,FIRE AND EMERGENCY NEW ZEALAND,445
2025-07-18,24,TAIT SYSTEMS NZ LIMITED,433
2025-07-18,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-07-21,1,ONE NEW ZEALAND GROUP LIMITED,10146
2025-07-21,2,SPARK NEW ZEALAND TRADING LIMITED,8855
2025-07-21,3,TWO DEGREES NETWORKS LIMITED,8638
2025-07-21,4,CHORUS NEW ZEALAND LIMITED,3636
2025-07-21,5,EONFIBRE LIMITED,2022
2025-07-21,6,VITAL LIMITED,1954
2025-07-21,7,KIWIRAIL,1820
2025-07-21,8,KORDIA LIMITED,1514
2025-07-21,9,RURAL CONNECTIVITY GROUP LIMITED,1350
2025-07-21,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-07-21,11,ENTAIN NEW ZEALAND LIMITED,657
2025-07-21,12,LIGHTWIRE LIMITED,648
2025-07-21,13,NZME RADIO LIMITED,602
2025-07-21,14,POWERCO LIMITED,590
2025-07-21,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-07-21,16,EVERY PERSON,574
2025-07-21,17,ISO LIMITED,552
2025-07-21,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-07-21,19,KIWIRAIL LTD,533
2025-07-21,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-07-21,21,MEDIAWORKS RADIO LIMITED,499
2025-07-21,22,DEPARTMENT OF CONSERVATION,467
2025-07-21,23,FIRE AND EMERGENCY NEW ZEALAND,445
2025-07-21,24,TAIT SYSTEMS NZ LIMITED,433
2025-07-21,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-07-22,1,ONE NEW ZEALAND GROUP LIMITED,10174
2025-07-22,2,SPARK NEW ZEALAND TRADING LIMITED,8855
2025-07-22,3,TWO DEGREES NETWORKS LIMITED,8648
2025-07-22,4,CHORUS NEW ZEALAND LIMITED,3636
2025-07-22,5,EONFIBRE LIMITED,2022
2025-07-22,6,VITAL LIMITED,1954
2025-07-22,7,KIWIRAIL,1820
