band,band_order,service,assignment_count
LF (30-300 kHz),2,Radiodetermination,6
LF (30-300 kHz),2,General User Licence,4
MF (300 kHz-3 MHz),3,Broadcasting,306
MF (300 kHz-3 MHz),3,Maritime,121
MF (300 kHz-3 MHz),3,Land Mobile,62
MF (300 kHz-3 MHz),3,Fixed Link,45
MF (300 kHz-3 MHz),3,General User Licence,35
MF (300 kHz-3 MHz),3,Radiodetermination,24
MF (300 kHz-3 MHz),3,Telemetry & Telecommand,1
MF (300 kHz-3 MHz),3,Amateur,1
HF (3-30 MHz),4,Land Mobile,561
HF (3-30 MHz),4,Fixed Link,344
HF (3-30 MHz),4,Maritime,295
HF (3-30 MHz),4,General User Licence,186
HF (3-30 MHz),4,Aeronautical,148
HF (3-30 MHz),4,Broadcasting,103
HF (3-30 MHz),4,Amateur,27
HF (3-30 MHz),4,Paging,9
HF (3-30 MHz),4,Telemetry & Telecommand,1
VHF (30-300 MHz),5,Land Mobile,11957
VHF (30-300 MHz),5,Broadcasting,1793
VHF (30-300 MHz),5,Paging,1084
VHF (30-300 MHz),5,Aeronautical,632
VHF (30-300 MHz),5,Maritime,541
VHF (30-300 MHz),5,Fixed Link,432
VHF (30-300 MHz),5,Amateur,281
VHF (30-300 MHz),5,General User Licence,105
VHF (30-300 MHz),5,Telemetry & Telecommand,89
VHF (30-300 MHz),5,Radiodetermination,45
UHF (300 MHz-3 GHz),6,Spectrum Licence,26355
UHF (300 MHz-3 GHz),6,Land Mobile,17752
UHF (300 MHz-3 GHz),6,Fixed Link,5392
UHF (300 MHz-3 GHz),6,Satellite & Space,702
UHF (300 MHz-3 GHz),6,Amateur,330
UHF (300 MHz-3 GHz),6,Radiodetermination,204
UHF (300 MHz-3 GHz),6,Broadcasting,187
UHF (300 MHz-3 GHz),6,General User Licence,181
UHF (300 MHz-3 GHz),6,Telemetry & Telecommand,178
UHF (300 MHz-3 GHz),6,Outside Broadcast,50
UHF (300 MHz-3 GHz),6,Paging,28
UHF (300 MHz-3 GHz),6,Meteorological,18
UHF (300 MHz-3 GHz),6,Aeronautical,3
SHF (3-30 GHz),7,Fixed Link,9956
SHF (3-30 GHz),7,Spectrum Licence,3958
SHF (3-30 GHz),7,Satellite & Space,761
SHF (3-30 GHz),7,Outside Broadcast,48
SHF (3-30 GHz),7,General User Licence,45
SHF (3-30 GHz),7,Radiodetermination,19
SHF (3-30 GHz),7,Meteorological,15
SHF (3-30 GHz),7,Aeronautical,6
SHF (3-30 GHz),7,Amateur,2
SHF (3-30 GHz),7,Land Mobile,1
EHF (>30 GHz),8,Fixed Link,375
EHF (>30 GHz),8,Satellite & Space,54
EHF (>30 GHz),8,General User Licence,20
EHF (>30 GHz),8,Meteorological,5
Unknown,99,Amateur,12
Unknown,99,Satellite & Space,7
Unknown,99,Land Mobile,1
Unknown,99,Radiodetermination,1
