licenceId,licenceNumber,licensee,channel,frequency,location,status,txrx,suppressed
434227,407996,"TAIT SYSTEMS NZ LIMITED","7GM3A#",7355.5,"KAHIKATEA","Current","TX",false
434226,407995,"TAIT SYSTEMS NZ LIMITED","7GM3A",7194.5,"BLACK BIRCH","Current","TX",false
434211,,"MOUNT CAMPBELL CONNECT LIMITED","EE213#",169.4625,"MOBILE","Current","TX",false
434210,295227,"MOUNT CAMPBELL CONNECT LIMITED","EE213",164.8625,"Mt Hutt (MTC)","Current","TX",false
434208,,"MOUNT CAMPBELL CONNECT LIMITED","EE42#",167.325,"MOBILE","Current","TX",false
434207,411430,"MOUNT CAMPBELL CONNECT LIMITED","EE42",162.725,"Mt Hutt (MTC)","Current","TX",false
434206,426538,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM365",102.2,"SKYTOWER","Current","TX",false
434205,426524,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM431",105.5,"RMWONU - OHURA","Current","TX",false
434204,426530,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM441",106.0,"42 PAEROA RANGE","Current","TX",false
434203,426537,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM329",100.4,"RWKMGO - MANGAKINO","Current","TX",false
434199,426502,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM313",99.6,"MT EGMONT","Current","TX",false
434198,426526,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM355",101.7,"MT EDGECUMBE","Current","TX",false
434197,426535,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM275",97.7,"FRANZ JOSEF","Current","TX",false
434196,426510,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM137",90.8,"HIKURANGI","Current","TX",false
434195,426522,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM425",105.2,"HEDGEHOPE","Current","TX",false
434194,426511,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM193",93.6,"KUROW EXCHANGE","Current","TX",false
434193,426523,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM161",92.0,"KUROW EXCHANGE","Current","TX",false
434192,426531,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM399",103.9,"POPOITI","Current","TX",false
434191,426506,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM249",96.4,"TWO PEAKS","Current","TX",false
434190,426533,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM415",104.7,"POPOITI","Current","TX",false
434189,426525,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM203",94.1,"TUAWERA TCE CHRISTCHURCH","Current","TX",false
434188,426534,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM443",106.1,"STOCKTON MINE GPS REPEATER 1","Current","TX",false
434187,426520,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM263",97.1,"LITTLE MT IDA","Current","TX",false
434186,426528,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM167",92.3,"NORTH ROUGH RIDGE","Current","TX",false
434185,426507,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM125",90.2,"MACKENZIE COLLEGE, KIRKE STREET, FAIRLIE","Current","TX",false
