licensee,assignment_count
ONE NEW ZEALAND GROUP LIMITED,10959
SPARK NEW ZEALAND TRADING LIMITED,10204
TWO DEGREES NETWORKS LIMITED,8764
CHORUS NEW ZEALAND LIMITED,3128
EONFIBRE LIMITED,2056
VITAL LIMITED,1973
KIWIRAIL,1896
KORDIA LIMITED,1468
RURAL CONNECTIVITY GROUP LIMITED,1425
"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment",1080
NZ DEFENCE FORCE HEADQUARTERS,814
ENTAIN NEW ZEALAND LIMITED,657
SPACE OPERATIONS NEW ZEALAND LIMITED,635
AMAZON KUIPER NEW ZEALAND LIMITED,616
LIGHTWIRE LIMITED,616
AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,597
POWERCO LIMITED,594
NZME RADIO LIMITED,592
EVERY PERSON,574
ISO LIMITED,552
NEP BROADCAST SERVICES NEW ZEALAND LIMITED,549
KIWIRAIL LTD,532
MEDIAWORKS RADIO LIMITED,491
Fire and Emergency New Zealand,474
DEPARTMENT OF CONSERVATION,465
