licensee,service,link_mode,band,assignment_count,min_frequency_mhz,max_frequency_mhz
ONE NEW ZEALAND GROUP LIMITED,Spectrum Licence,Unspecified,UHF (300 MHz-3 GHz),10005,730.5,2682.5
SPARK NEW ZEALAND TRADING LIMITED,Spectrum Licence,Unspecified,UHF (300 MHz-3 GHz),7643,713.0,2665.0
TWO DEGREES NETWORKS LIMITED,Spectrum Licence,Unspecified,UHF (300 MHz-3 GHz),7149,743.0,2165.0
EONFIBRE LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),1990,5974.85,23520.0
CHORUS NEW ZEALAND LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),1954,420.0375,1521.0
SPARK NEW ZEALAND TRADING LIMITED,Spectrum Licence,Unspecified,SHF (3-30 GHz),1786,3610.0,3660.0
KIWIRAIL,Land Mobile,Repeater,VHF (30-300 MHz),1447,151.85,161.0813
KORDIA LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),1345,4430.0,23506.0
RURAL CONNECTIVITY GROUP LIMITED,Spectrum Licence,Unspecified,UHF (300 MHz-3 GHz),1251,768.0,2137.5
ONE NEW ZEALAND GROUP LIMITED,Spectrum Licence,Unspecified,SHF (3-30 GHz),1180,3500.0,3500.0
VITAL LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),1075,414.1125,487.4
"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment",Broadcasting,Unspecified,VHF (30-300 MHz),896,88.6,106.5
CHORUS NEW ZEALAND LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),828,6460.0,23030.0
SPARK NEW ZEALAND TRADING LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),794,7747.7,23212.0
VITAL LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),756,406.1125,493.1375
TWO DEGREES NETWORKS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),746,7194.5,23520.0
